kappa,omega,psi,delta_x,delta_y,R,logit_R
19.06664022134071,1114.1270442263349,0.5235987755982988,0.025,0.014433756729740644,1.7510027361723513e-05,-10.952719338852946
19.067306906896896,1114.2049588862264,0.5235987755982988,0.025,0.014433756729740644,1.750405701567848e-05,-10.953060370225549
19.067973592453082,1114.2828762704403,0.5235987755982988,0.025,0.014433756729740644,1.7498089377979882e-05,-10.95340136315388
19.068640278009266,1114.3607963789757,0.5235987755982988,0.025,0.014433756729740644,1.7492124447056722e-05,-10.95374231764874
19.069306963565452,1114.4387192118338,0.5235987755982988,0.025,0.014433756729740644,1.748616222133908e-05,-10.954083233720928
19.069973649121636,1114.5166447690135,0.5235987755982988,0.025,0.014433756729740644,1.7480202699258283e-05,-10.95442411138123
19.070640334677822,1114.5945730505157,0.5235987755982988,0.025,0.014433756729740644,1.7474245879246575e-05,-10.954764950640445
19.071307020234006,1114.67250405634,0.5235987755982988,0.025,0.014433756729740644,1.746829175973753e-05,-10.955105751509349
19.071973705790192,1114.7504377864864,0.5235987755982988,0.025,0.014433756729740644,1.7462340339165656e-05,-10.955446513998723
19.07264039134638,1114.828374240955,0.5235987755982988,0.025,0.014433756729740644,1.7456391615966716e-05,-10.955787238119338
19.073307076902562,1114.9063134197456,0.5235987755982988,0.025,0.014433756729740644,1.7450445588577572e-05,-10.956127923881967
19.07397376245875,1114.9842553228586,0.5235987755982988,0.025,0.014433756729740644,1.7444502255436064e-05,-10.956468571297375
19.074640448014932,1115.0621999502935,0.5235987755982988,0.025,0.014433756729740644,1.743856161498136e-05,-10.956809180376318
19.07530713357112,1115.1401473020508,0.5235987755982988,0.025,0.014433756729740644,1.7432623665653523e-05,-10.957149751129558
19.075973819127302,1115.2180973781299,0.5235987755982988,0.025,0.014433756729740644,1.7426688405893896e-05,-10.957490283567843
19.07664050468349,1115.2960501785315,0.5235987755982988,0.025,0.014433756729740644,1.7420755834144844e-05,-10.95783077770192
19.077307190239672,1115.3740057032549,0.5235987755982988,0.025,0.014433756729740644,1.74148259488499e-05,-10.95817123354253
19.07797387579586,1115.4519639523007,0.5235987755982988,0.025,0.014433756729740644,1.7408898748453616e-05,-10.95851165110041
19.078640561352046,1115.5299249256689,0.5235987755982988,0.025,0.014433756729740644,1.740297423140171e-05,-10.9588520303863
19.07930724690823,1115.6078886233586,0.5235987755982988,0.025,0.014433756729740644,1.739705239614109e-05,-10.95919237141092
19.079973932464416,1115.685855045371,0.5235987755982988,0.025,0.014433756729740644,1.7391133241119594e-05,-10.959532674184997
19.0806406180206,1115.763824191705,0.5235987755982988,0.025,0.014433756729740644,1.7385216764786307e-05,-10.959872938719249
19.081307303576786,1115.8417960623617,0.5235987755982988,0.025,0.014433756729740644,1.7379302965591326e-05,-10.960213165024394
19.08197398913297,1115.91977065734,0.5235987755982988,0.025,0.014433756729740644,1.737339184198595e-05,-10.96055335311114
19.082640674689156,1115.9977479766412,0.5235987755982988,0.025,0.014433756729740644,1.7367483392422456e-05,-10.960893502990192
19.083307360245342,1116.0757280202643,0.5235987755982988,0.025,0.014433756729740644,1.7361577615354322e-05,-10.961233614672254
19.083974045801526,1116.153710788209,0.5235987755982988,0.025,0.014433756729740644,1.735567450923614e-05,-10.961573688168018
19.084640731357712,1116.2316962804764,0.5235987755982988,0.025,0.014433756729740644,1.7349774072523456e-05,-10.96191372348818
19.085307416913896,1116.3096844970655,0.5235987755982988,0.025,0.014433756729740644,1.734387630367312e-05,-10.962253720643426
19.085974102470082,1116.3876754379774,0.5235987755982988,0.025,0.014433756729740644,1.733798120114285e-05,-10.962593679644444
19.086640788026266,1116.4656691032105,0.5235987755982988,0.025,0.014433756729740644,1.733208876339171e-05,-10.962933600501902
19.087307473582452,1116.5436654927666,0.5235987755982988,0.025,0.014433756729740644,1.7326198988879654e-05,-10.963273483226484
19.087974159138636,1116.6216646066443,0.5235987755982988,0.025,0.014433756729740644,1.7320311876067882e-05,-10.96361332782885
19.088640844694822,1116.6996664448448,0.5235987755982988,0.025,0.014433756729740644,1.7314427423418518e-05,-10.963953134319675
19.08930753025101,1116.777671007367,0.5235987755982988,0.025,0.014433756729740644,1.730854562939493e-05,-10.964292902709614
19.089974215807192,1116.8556782942114,0.5235987755982988,0.025,0.014433756729740644,1.7302666492461557e-05,-10.964632633009321
19.09064090136338,1116.933688305378,0.5235987755982988,0.025,0.014433756729740644,1.729679001108385e-05,-10.964972325229454
19.091307586919562,1117.0117010408665,0.5235987755982988,0.025,0.014433756729740644,1.7290916183728427e-05,-10.965311979380651
